neighbourhood,neighbourhood_id
Hyde Park,1
Edgewater,2
North Center,3
West Town,4
Logan Square,5
Pullman,6
Lake View,7
Lincoln Park,8
Irving Park,9
Near South Side,10
West Ridge,11
Woodlawn,12
Near West Side,13
Avondale,14
Bridgeport,15
Kenwood,16
Humboldt Park,17
Loop,18
Lower West Side,19
Uptown,20
Lincoln Square,21
Portage Park,22
Washington Park,23
Forest Glen,24
South Lawndale,25
Near North Side,26
Grand Boulevard,27
East Garfield Park,28
Morgan Park,29
Rogers Park,30
Dunning,31
North Lawndale,32
West Lawn,33
South Shore,34
Beverly,35
Armour Square,36
Hegewisch,37
Albany Park,38
South Deering,39
Jefferson Park,40
Ashburn,41
Douglas,42
Greater Grand Crossing,43
West Elsdon,44
Austin,45
Hermosa,46
Norwood Park,47
Garfield Ridge,48
West Garfield Park,49
North Park,50
Mckinley Park,51
Oakland,52
Belmont Cragin,53
Edison Park,54
Brighton Park,55
Archer Heights,56
Englewood,57
Chicago Lawn,58
South Chicago,59
West Englewood,60
Mount Greenwood,61
Chatham,62
Roseland,63
Montclare,64
Calumet Heights,65
Fuller Park,66
Ohare,67
West Pullman,68
Auburn Gresham,69
New City,70
Avalon Park,71
Clearing,72
Burnside,73
Gage Park,74
Washington Heights,75
East Side,76
Riverdale,77
